number,ref,XGB,CNN,RF,SVM,GWC
74,1.12651421,1.126504,1.117141,1.115062,1.118457,27.47107847
75,1.142649435,1.140863,1.13051,1.118011,1.123185,29.5627717
76,1.162571506,1.169316,1.187806,1.184103,1.185889,32.86695365
77,1.160607398,1.154371,1.136534,1.139819,1.138377,36.43128094
78,1.144802057,1.13998,1.144339,1.151004,1.143246,30.51738388
79,1.142357163,1.141336,1.130305,1.129021,1.131762,33.94875475
80,1.135521454,1.142406,1.154287,1.148923,1.153336,33.98305147
81,1.163561437,1.163702,1.158284,1.156905,1.159048,32.43733149
82,1.141765477,1.150596,1.159659,1.151353,1.159211,27.44918123
83,1.082216054,1.096242,1.086683,1.068075,1.089376,13.32320536
84,1.073466366,1.093789,1.103644,1.082001,1.104183,16.23669395
85,1.072917772,1.064069,1.076083,1.089209,1.073529,14.00445355
86,1.087319283,1.093253,1.085033,1.076219,1.086753,16.96961652
87,1.086829746,1.092334,1.108643,1.105851,1.106834,14.92044228
88,1.099628828,1.091026,1.093915,1.104666,1.092646,22.16689
89,1.155225388,1.160213,1.164379,1.15948,1.16426,31.08587368
,,,,,,
,,,,,,
,,,,,,
,,,,,,
